Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
10/08/2000;3,5;2,7;0;23;17,6;12;79,5;54;0,766667
11/08/2000;2,8;0,3;0;19,2;16,36;15,4;82,75;75;5,633333
12/08/2000;2,6;8,5;0,5;19,6;13,4;10,2;67,25;41;2,866667
13/08/2000;3,8;4,7;0;18,2;13,56;7,6;68,5;48;1,766667
14/08/2000;3,2;10,3;0;23,2;16,32;9;62;49;0,666667
15/08/2000;3;8,4;0;26,2;18,24;10;67,25;45;0
16/08/2000;2,8;1,6;1,2;23,2;18,12;15;86,25;63;1,4
17/08/2000;2,1;5,7;0;25,4;19,72;15;67,75;51;1,533333
18/08/2000;2,6;5;14;25,2;19,28;16;82,5;58;1,533333
19/08/2000;2;0,8;0,2;21,8;17,92;16;77,5;48;1,066667
20/08/2000;1,2;6,3;0;25,2;19,88;15,8;71,75;51;0
21/08/2000;2,2;10;0;28,4;19,84;12;60,75;30;0,533333
22/08/2000;3,5;10,2;0;29,2;19,6;12;53,5;21;0
23/08/2000;4,4;9;0;29;19,92;11,6;53,75;27;0,433333
24/08/2000;3,9;10;0;30,4;20,8;12,6;51,25;25;0
25/08/2000;4,2;10,1;0;31,8;21,6;12;55,5;32;0
26/08/2000;4,4;8,6;0;31,8;22,76;13,4;54,25;31;0
27/08/2000;4,7;2,3;0,2;25;21,36;18;79,5;53;1,633333
28/08/2000;2,5;0;2;21,2;17,92;16,4;76;64;4,3
29/08/2000;1,7;2,1;6,8;21;17,4;14;83;69;1,1
30/08/2000;1,8;2,4;0;23,6;19,6;15;74,5;50;1,3
31/08/2000;3,2;0,5;0;25,2;21,12;17;75,75;61;2,133333
01/09/2000;2,8;5,2;0;28,2;21,44;17;78,25;46;1,4
02/09/2000;2,9;0;34,6;21,6;18,6;16,2;93,75;88;0,666667
03/09/2000;0,7;0;20,4;19;15,88;11;93,25;90;0,866667
04/09/2000;0,6;0,2;9,4;18,8;16,08;13,4;89,75;90;1,2
05/09/2000;0,8;0,3;2;20,4;17,16;13,6;80,25;65;1,2
06/09/2000;2,1;0,1;0,6;19,4;16,84;15;88,5;72;0,533333
07/09/2000;0,9;3;1,9;23;18,44;14,6;76;53;1,633333
08/09/2000;2,9;6,4;0;26,4;20,32;15;61,25;39;2,066667
09/09/2000;4,2;1,7;0;24,6;19,44;16;73,5;54;0,433333
10/09/2000;2,7;8,6;0;29;21,12;13,6;66,25;41;0,5
11/09/2000;3,3;9,4;0;29,4;22,52;15;63,5;45;0
12/09/2000;3,3;3,9;0;28,2;22,24;17;64,25;50;1,033333
13/09/2000;3,3;2,9;0,5;28;22,28;19,2;75,25;50;0,866667
14/09/2000;2,6;4,4;0;28,8;22,24;18;79,25;56;2,233333
15/09/2000;2,9;5,2;0;29,2;22,96;18,6;81,25;55;1,433333
16/09/2000;1,6;0,7;2,7;25,8;21,04;18,8;88,75;70;0,666667
17/09/2000;2,1;2,3;2,9;24,4;20;17;86,5;80;2,2
18/09/2000;2,3;4,9;0;26;20,52;17,6;82,75;56;2,966667
19/09/2000;3,3;5,9;0;30,2;23,12;17,6;67,25;43;0,666667
20/09/2000;3;9;0;30;23;17,6;66,75;40;2,066667
21/09/2000;5,2;8,5;0;30;23,68;16,4;50,75;37;1,766667
